round,offset,delay,elapsed,reference_time,time_source
1,1.206640,0.000798,0.011,1774452452.004374,ntp:time.google.com
2,1.206506,0.000938,1.037,1774452453.030413,ntp:time.google.com
3,1.206692,0.001111,2.089,1774452454.082427,ntp:time.google.com
4,1.206681,0.000591,3.117,1774452455.110918,ntp:time.google.com
5,1.206680,0.001051,4.177,1774452456.170318,ntp:time.google.com
6,1.206668,0.001056,5.209,1774452457.202359,ntp:time.google.com
7,1.206934,0.001588,6.247,1774452458.240593,ntp:time.google.com
8,1.206624,0.000679,7.270,1774452459.263767,ntp:time.google.com
9,1.206708,0.001109,8.285,1774452460.278171,ntp:time.google.com
10,1.206636,0.000600,9.350,1774452461.343940,ntp:time.google.com
