round,offset,delay,elapsed,reference_time
1,-0.6229391098022461,0.0028285980224609375,0.01906079999935173,1773413020.7146103
2,-0.6234376430511475,0.0017304420471191406,1.0307050999999774,1773413021.7262735
3,-0.6234732866287231,0.0018379688262939453,2.0511085999996794,1773413022.74659
4,-0.6234855651855469,0.0017571449279785156,3.063466999999946,1773413023.758998
5,-0.6235634088516235,0.0017044544219970703,4.100869699999748,1773413024.796339
6,-0.6232819557189941,0.0022306442260742188,5.112060200000087,1773413025.8076854
7,-0.6235218048095703,0.0016903877258300781,6.143841999999495,1773413026.8393717
8,-0.6234420537948608,0.0018818378448486328,7.176292099999955,1773413027.8717842
9,-0.6235082149505615,0.001628875732421875,8.199581699999726,1773413028.8951504
10,-0.6234462261199951,0.0018486976623535156,9.223917999999685,1773413029.919431
1,-0.42101871967315674,0.0014369487762451172,0.017327499999737483,1773413774.712615
2,-0.4208207130432129,0.0017714500427246094,1.0468371999995725,1773413775.7421355
3,-0.4207066297531128,0.0025446414947509766,2.0854930999994394,1773413776.7805583
4,-0.42066800594329834,0.0023801326751708984,3.1306275999995705,1773413777.825773
5,-0.42056941986083984,0.002392292022705078,4.166066499999943,1773413778.8613021
6,-0.4193958044052124,0.004713773727416992,5.208079899999575,1773413779.903339
7,-0.4209028482437134,0.002340555191040039,6.24203690000013,1773413780.9369698
8,-0.4201716184616089,0.0030820369720458984,7.260536199999478,1773413781.9558017
9,-0.42074477672576904,0.0027511119842529297,8.29172920000019,1773413782.9866157
10,-0.42067062854766846,0.0019114017486572266,9.324911300000167,1773413784.0203345
